"","x"
"73569",0.582457059577741
"202090",0.747260172521441
"231579",0.412711617802831
"93319",0.624880928111282
"252947",0.568705921504048
"146467",0.274747731770618
"167808",0.231407852388471
"96883",0.749959258151488
"121115",0.753667657617027
"251810",0.382481158051707
"209411",0.325432985070432
"35106",0.576570260601707
"28299",0.845135514804678
"3354",0.833477390766334
"152470",0.70159488778613
"85156",0.553755570554813
"235275",0.879277896709314
"50154",0.788070855368447
"110324",0.931569084346127
"222338",0.71574243051896
"18004",0.743488087866717
"106592",0.724133939945926
"62000",0.791882950369482
"137606",0.61397546489877
"92180",0.556976051687296
"68656",0.481609762945148
"23434",0.634987775648325
"230362",0.609053515626072
"240272",0.549062546392093
"8033",0.739565370147923
"37620",0.40487789387133
"180079",0.387687394279729
"93781",0.444007604007187
"111331",0.831406919756396
"101944",0.582691564312307
"182777",0.313521748315916
"133720",0.559095954164269
"251874",0.740661258515682
"177932",0.337546151405181
"60355",0.855369060350977
"245384",0.840244980333247
"22784",0.588730406823557
"129392",0.385093886649624
"136832",0.656864802585752
"80015",0.721809705286365
"92572",0.56247153482838
"92128",0.735663646516955
"250747",0.665613596395318
"114279",0.766591524548606
"75762",0.76880175626619
"137547",0.522031722278114
"201025",0.473873835674099
"135292",0.651406131582068
"217178",0.165285777007879
"228125",0.487583128687643
"186591",0.702708004911719
"187620",0.310326809076635
"238321",0.733187203580599
"154866",0.768479443036045
"56219",0.400680830388965
"140020",0.432853745936381
"200390",0.671475518098175
"77719",0.435158262921133
"218309",0.843732617038303
"229180",0.683092913969725
"131289",0.535372282957766
"253567",0.621165896129088
"232898",0.600964105160667
"90100",0.900621236476154
"64718",0.547663273677876
"118360",0.61711873058964
"70021",0.288566636300836
"1395",0.787997927039277
"205550",0.60256864796361
"155175",0.478468547993105
"29702",0.85916353363189
"72780",0.24262924325121
"178887",0.580007457359481
"205604",0.833533800769743
"253827",0.611068332665227
"254269",0.85484947201102
"103937",0.583387712223886
"145010",0.704741012806756
"54639",0.688522258131342
"139333",0.859908200701004
"234967",0.483495075420895
"7204",0.600818684602718
"238357",0.515976938942157
"215618",0.2131396239152
"104643",0.767004671105519
"222401",0.400289646307188
"143705",0.737612396647316
"161382",0.76544127800957
"27935",0.717541613305693
"202459",0.595067847287818
"62352",0.363796259727393
"103348",0.789382434607222
"222213",0.382703105125404
"58401",0.50412062244963
"164523",0.705899949109922
"11838",0.572428105171934
"42516",0.610946044714476
"11012",0.502240608175444
"234616",0.835247477631424
"64751",0.920333437085418
"210010",0.760799704078395
"164310",0.753576816707669
"183256",0.762515789225643
"76228",0.455170057017968
"145499",0.838771419263713
"85651",0.387574934315084
"75829",0.314514712378609
"91910",0.132123488552783
"178",0.366817644427818
"235224",0.698608219371525
"241732",0.698197694175184
"183689",0.260327466775599
"159929",0.689564759639949
"25847",0.817610801192391
"111082",0.688829529761715
"165452",0.866278304689263
"113871",0.655358486377173
"176817",0.767025116517842
"202467",0.478449475293396
"28838",0.239202256437068
"248474",0.456741091135943
"108928",0.550485250184745
"251518",0.698449001917471
"182376",0.793027819576853
"3082",0.669282299051264
"139189",0.800220008485106
"215486",0.753049953717436
"183093",0.597956664448092
"46823",0.62138654045405
"189259",0.835545220032478
"77081",0.934275542832079
"197491",0.664349876482606
"114034",0.661861618469588
"60565",0.55842388675178
"81039",0.304956976650913
"103519",0.811636668009984
"225336",0.615314553832399
"68856",0.361733939389824
"65505",0.372615888277088
"16380",0.602417882755187
"252286",0.801976031207458
"91095",0.644360976115336
"123115",0.594998857862953
"234327",0.864919974708116
"125151",0.742387789933498
"40878",0.882131492722083
"148386",0.444493703397358
"73380",0.437056732515772
"25485",0.429042071032447
"59024",0.693753246333822
"97242",0.546354015188455
"212067",0.774753555526404
"230349",0.429758490225048
"162797",0.418183787394836
"40594",0.493166227374582
"56399",0.364136073730465
"110432",0.67839393079877
"160526",0.37284100688742
"130130",0.621791115971345
"189545",0.556657959559445
"195913",0.619134922778486
"15669",0.198679843266057
"109682",0.604220904413044
"143427",0.260071289649352
"134687",0.785453566541552
"159527",0.825324920184493
"36261",0.832825246965715
"230175",0.350679974037995
"27830",0.783839749288787
"90983",0.726638678830824
"153665",0.56712168902143
"174205",0.422945084815851
"2463",0.604173192593025
"122645",0.679589568053978
"125275",0.675018702348019
"243099",0.610665557051598
"134698",0.569327687161408
"23785",0.524557486366885
"33620",0.382308500377748
"24857",0.826373988151947
"193896",0.776056014145278
"172452",0.376007572487225
"209918",0.615617632822198
"53967",0.288354090496591
"3696",0.726804731206966
"87654",0.556514660671202
"150903",0.758507631546887
"81125",0.152998165536693
"77847",0.39726084142971
"203263",0.786279760593748
"45134",0.656918090265005
"179151",0.589421103705284
"50158",0.535768456611244
"51124",0.163086435366413
"180106",0.749587742135179
"104882",0.793671291743042
"248340",0.388491471759553
"227329",0.456705452871982
"200157",0.907816659916734
"94865",0.831017889198176
"122232",0.710039482517644
"238203",0.754209632833247
"145109",0.683854213667407
"229669",0.349529595511057
"113213",0.356875502945307
"153436",0.773061270376641
"151997",0.716751518723444
"102221",0.750294392285182
"251586",0.656085243754045
"222392",0.357599023319182
"1675",0.479705807823694
"57049",0.59441473133956
"244186",0.839380337910494
"157966",0.644311026082529
"100179",0.34989775873234
"19021",0.47185795507604
"147389",0.684241986540444
"197910",0.719244997551117
"95426",0.729479742771077
"33851",0.306628543297764
"77229",0.71818750914468
"210487",0.612608465155592
"216747",0.405000305692896
"237599",0.787626111739971
"87873",0.710466757389767
"95331",0.637819439455523
"30705",0.608713058930866
"13348",0.5679138606005
"111589",0.538993187936216
"52720",0.669615580197431
"82295",0.760868566332369
"153489",0.876523662777495
"157458",0.650537463863629
"142793",0.809319652671643
"199500",0.694253077881433
"30212",0.717384029617561
"33523",0.844416101228985
"189767",0.252023018229517
"152944",0.712395252484298
"246964",0.451520012170406
"160103",0.57723196830342
"49819",0.7905041933324
"202233",0.529120376856162
"186002",0.231318936113173
"237476",0.785197488899475
"252324",0.812670545051875
"33390",0.493543742933468
"25029",0.264742272215263
"209725",0.675393133670865
"198473",0.833694475483161
"203843",0.703700543607108
"194905",0.359789736798661
"106681",0.894659517264619
"20381",0.53212673287484
"19859",0.83771416681274
"227943",0.739422108930628
"219602",0.440244099488554
"191215",0.770635721834182
"137416",0.716008650595816
"67206",0.689972666039861
"165997",0.347552072272684
"175933",0.639415571218887
"146309",0.726423785476944
"158656",0.55354643086978
"101150",0.807383755181449
"123053",0.401527545825483
"102997",0.681644657439117
"223423",0.626304394991699
"85363",0.754227782288368
"193847",0.570290485704476
"252140",0.221990348913246
"53275",0.625561527233321
"87635",0.721708283682664
"136219",0.897838430955341
"71205",0.66450223471019
"149576",0.444736585888245
"49349",0.506124823643267
"37952",0.708847975524674
